asset_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EP1A,68.4270887389725,130.74247832738396,212.7835051546392,378.7781441356571,452.5131169408626,438.6061855670103,395.34444444444443,902.7103308575288,1325.2658499234306,2096.4865315190227,2452.8794326241136,2338.6788165680473,3392.580092287409,3881.949714060343,4202.238209432454,4663.004886903099,4726.848706624606,3732.185733512786,4385.673968565815,6728.235722142313,7880.614935396743,10643.122538436377,13423.050311747638,13078.35378629153,13524.000454855583,16374.270452099032,19317.99557184303,20767.185325743198,21348.11073871723,19933.46518299574,20456.916285018775,19779.021472886954,16385.16495696262,12979.080949137147,12427.840640597507,12769.03396188159,13930.637576109018,17077.686510880318,21258.85260141224,25931.213569173164,32481.558814254175,29160.08381458578,27395.57540474326,28761.790120987902,28828.76830970918,25862.99742256387,27118.00883870422,28450.21427273278,31772.528729664245,35538.06105230265,39569.38815084227,36958.85153030386,38189.38343041617,38761.20236722512,40121.73516703895
EP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.7119575282425,3173.020053876085,6256.291562428928,7500.632454251884,8179.16078790655,10111.609740670461,12554.187227400027,14452.512388072677,15293.302677724141,14642.332487309644,16268.176158471879,19858.356986073264,25533.594312183563,30020.46086780211,30395.28298057408,30240.631274727995,28970.833338257456,34627.71453321038,36946.031220435194,33443.82276281494,32595.21112317834,35664.04799520048,37617.046782933816,37817.98326927425,40621.283346020464,44380.57720966863,46965.860928425835,47409.53552595602,50904.416060490046,51458.200322362034,55554.665836199034,58346.73807908838,60739.99631519736
EP1C,15.038920601971979,19.649158592554816,29.637702503681886,79.26142251530852,163.0884837705647,250.8519587628866,451.15777777777777,545.8430114787307,644.1280245022972,795.6831435712302,910.2978723404256,1010.589349112426,1242.5893210283455,1444.668901597318,1650.679456434852,1860.6989667690586,2096.70309148265,2783.3660834454913,3396.0402750491157,4243.352906337253,5912.092123512664,7912.214066077855,9469.226989320328,9523.160730320264,11397.388446668181,12786.579655543595,16041.183997556878,11068.12460468058,7968.296772416326,5221.741067547597,3272.7717951891736,1848.4361050680845,1039.4328498997759,516.8324250681198,272.8599949728895,147.20083130575833,79.42795013047261,44.4954253214639,23.100008863414782,12.83426942744572,6.839482812992746,2.5549138856237543,1.691763695602758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1D,37.597301504929945,72.55073941866394,106.3917525773196,180.62458784738578,227.40506891951978,359.3492783505155,551.9318518518519,694.9932478055368,741.7709035222052,808.3507359066925,880.113475177305,891.2284023668639,967.2564271588661,814.8187734174718,1252.59792166267,935.1741133761518,1056.4095899053627,1207.6621803499327,1530.2444007858546,1612.5389626871986,1618.6900503686397,2922.5368662087017,2612.1723563182913,3890.6195749775516,5635.274732772345,6701.160871905275,8145.952664528935,9096.040480708412,10688.20421468252,12728.87942275928,12480.058175516773,11646.909475465312,12290.557009786582,14896.93460490463,15035.2636360372,14293.796330089213,13262.75954382913,15636.719275469834,16563.56191095223,21795.156341688322,24659.755282245347,25442.68411100322,26279.01136564544,23015.65413458654,20951.383137319863,18119.275423920415,16389.584876934787,14925.857454413279,13323.777277797008,12316.51107378618,12756.20679555896,13668.546092276132,14385.15053687978,14907.14986773384,14475.107201669573
EP1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5914792899408283,141.25774555042847,336.45158745809505,468.4252597921663,642.4798938843898,965.3536908517351,1233.5464333781965,1367.3317288801572,1757.659362044166,2630.677129717497,3668.6644422636573,4736.248657324526,5162.615983238551,6003.437229929497,5712.994133476857,5021.068254695373,5289.943074003794,5662.867269638676,5460.115839346257,5695.125139249908,4929.44263153654,6724.751798137012,7836.936118679987,8762.025925526948,10663.97698702352,12435.171547308399,13435.051403313551,13654.671905929627,15654.38622963646,18513.62503941974,17192.015536362243,16975.156921678074,17001.297870212977,18443.914905700563,18676.329730951842,18474.88173475429,17241.52438359484,15985.726337448561,14758.464669348854,15401.1558575804,15972.693481326813,16774.492946873466,17692.13662416062,17936.900445111114
EP1F,19.550596782563574,38.54258031616522,63.83505154639176,171.4790390956194,327.7083148065807,458.61278350515465,703.8681481481482,766.0543551654289,823.6649310872895,900.1907803387948,886.468085106383,849.0542011834319,853.1329378158646,764.5902188917373,677.0583533173461,652.1291538676346,614.0229652996845,736.0834454912517,841.3102161100196,893.4227938065826,1076.4084969705816,1247.6231599607459,1511.7078832026668,1421.2571086501048,1981.6531726176938,2555.6607104413347,3368.964116659032,2242.4035420619857,1690.370873697259,1241.0490741545684,906.4991954449808,575.5910885504794,345.07487324607945,210.27985921889191,132.19304104276634,86.7889294403893,49.535710834058186,23.959075173095947,9.411114722131948,2.5668538854891443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.352308665401,9410.6467104357,14124.121968182215,17084.53839171515,16980.776166304084,18343.6752741422,16077.54200726612,13897.21713526518,13956.851074614762,16790.04378080603,18901.143267804156,19221.77404201259,18545.519322659067,19104.385367391988,18616.805846578423,16333.978481044629,15539.118988101189,15285.090986535415,16268.82107167081,17844.385117990358,19880.423274974255,20384.339217722398,18222.68868403578,19737.594486983155,20982.883949667565,21164.500491262545,21895.335633860137,21548.74550405165
EP1H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.1673478655767,1470.2238859564077,2681.948094079481,4128.54527882478,5597.0110966864495,8778.858923981448,11716.832369296113,14700.613371176283,16491.117493739457,17723.762356982294,18662.750124987502,19654.532288979866,21519.975220438617,24285.764801657784,26544.803295571575,28130.817333948697,28948.72762782704,30911.255111026036,33694.57451874645,37101.90532668959,39043.70175676592,41440.39704563611
EP20,7854.828230409965,8919.206527281998,10104.936671575848,11210.918511540274,12302.843930635838,13431.352577319589,15313.783333333333,17401.38149898717,20156.167534456355,23099.354623715633,26732.25531914894,30097.260591715974,32921.03537684026,35825.715835140996,44252.59792166267,48807.56520524992,52125.87608832808,56727.76716016151,66314.37308447938,75450.44673830272,95235.24176947221,110747.34916584888,125679.41996419532,137861.11942532175,153959.4614509893,167598.541065662,181694.92624828217,194653.27008222643,205868.19631789174,218614.67008606452,230189.69274250115,239554.130811377,248080.2178988327,258537.82016348772,268328.99375201983,283408.398215734,308776.5831642022,330967.24171612266,341154.6197890508,364403.41185346636,409778.20845159254,427091.328052333,404219.0209633016,355553.304969503,377000.9881918645,364410.25078001356,395177.479087372,376028.17362331133,385074.66203222953,369825.4147103629,382954.87630168453,393370.7541623166,411531.49940346694,411950.24420063756,410573.5716661503
EP34,795.5588998443177,869.8531361550229,946.8865979381444,1033.4470089495996,1147.7447754557581,1288.117113402062,1508.5103703703703,1813.229574611749,2135.5442572741194,2559.6453762843653,3020.822695035461,3574.4624852071006,4043.8022412656555,4785.266416880299,6117.505995203837,7236.944987433677,8372.307886435332,9609.528936742934,10932.16974459725,12580.073948726626,14758.212862252716,17156.041609421,19195.99209827767,21793.702484286143,23636.52649533773,25402.67158234661,28355.586349060923,31635.689437065146,34733.750700151504,38110.79174997827,42551.05549366671,46476.04371122391,51702.3157646504,57126.0284211323,61389.26191245646,65685.60563665855,68901.61157823524,71777.11081231454,76243.71814341006,81305.09682286864,87552.21948912015,94601.64808095263,102088.63432930062,110866.62373762623,117626.63243332783,125755.00981234456,135346.32980208067,145618.4853698431,157764.0221914542,166712.18839107847,176628.3713820827,186477.14469659503,193265.88851849255,200978.72032489994,208164.2740449676
