YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,PORTFOLIO_IND,PORTFOLIO,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_OTHR_PORT_INCM_IND,S_OTHR_PORT_INCM,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2004,3,1,1,0,3518334,0,2437711147,0,261118654,0,559765519,0,8390142,0,351216788,0,48558220,0,18057140,0,149147414,0,43204927,0,64651042,0,270141708,0,1124308124,0,650868503,0,11780383,0,3690074,0,93136033,0,85138077,0,28827639,0,49263477,0,2437711147,0,295195868,0,291273559,0,410485937,0,201767045,0,479247988,0,81501540,0,678239209,0,72636381,0,238842169,0,403598772,0,36838113,0,4737162166,0,4645693720,0,1326110,0,13146282,0,76996055,0,4518457226,0,2916564226,0,173784175,0,490131058,0,28546066,0,9653739,0,117668535,0,100562982,0,39140880,0,6338037,0,86588530,0,504071,0,43879971,0,19033753,0,42818682,0,1021117,0,442221403,0,218704940,0,275398651,0,339948836,0,64550185,0,217378830,0,283531197,0,66152366,0,51030268,0,3268392,0,8807932,0,950081,0,1165842,0,36837357,0,665,0,6609302,0,10015272,0,3405970,0,380251,0,1289396,0,909146,0,391175,0,349496,0,8950
2004,3,1,2,0,449580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66477126,0,63385289,0,80872,0,1477492,0,1533473,0,64353507,0,25138327,0,4024950,0,7326583,0,641069,0,937255,0,2596660,0,7299257,0,786899,0,191986,0,1221723,1,921,0,754037,0,283328,0,555243,0,257445,0,12337824,0,2123619,0,10299508,0,16290257,0,5990749,0,2042747,0,7879653,0,5836906,0,8284128,0,919055,0,243355,0,23605,0,5338,0,7092774,0,0,0,-28216,0,69446,0,97662,0,849,0,6541,1,5692,0,42360,0,41749,0,22
2004,3,1,3,0,1803497,0,50742259,0,16022754,0,3564277,0,18670,0,4320480,1,9756,1,27428,0,1995605,0,4397920,0,107838,0,1327458,0,77120251,0,61119451,0,113998,0,33762,0,759258,0,4718870,0,2596879,0,25128,0,50742259,0,4990818,0,6355080,0,8761270,0,34652065,0,13922570,0,1594874,0,-19534416,0,8896771,0,19065380,0,-45271088,0,2225479,0,433935207,0,429687843,0,1295,0,428407,0,3817662,0,400198573,0,144614493,0,45025206,0,66277180,0,3966513,0,448279,0,21722055,0,12388714,0,1939055,0,402411,0,6141810,1,18343,0,5338318,0,4165050,0,3468319,0,108976,0,84173850,0,33736634,0,36425257,0,47461890,0,11036633,0,33735339,0,44931475,0,11196136,0,2156252,0,47448,0,214454,0,136115,0,32212,0,1726024,0,0,0,388729,0,571922,0,183193,0,144937,0,165264,1,20326,1,346,0,1,0,0
2004,3,1,4,0,489573,0,75966014,0,17703523,0,7054152,0,43622,0,8459733,1,30417,1,41916,0,3595488,0,5323077,1,147431,0,3212884,0,74959034,0,52236876,1,172362,1,72660,0,2483252,0,7076520,0,2786617,0,845998,0,75966014,0,7003393,0,8281084,0,6649510,0,21664006,0,20942421,0,1677034,0,9748566,0,8098776,0,13325535,0,-8840095,0,2835651,0,322804026,0,318899135,0,7845,0,454315,0,3442731,0,303005630,0,133825086,0,26762122,0,47901979,0,2776935,0,370742,0,14557176,0,8826050,0,1880422,0,497333,0,5703280,5,,0,3651927,0,1911729,0,2595183,0,37289,0,51708376,0,19798395,0,21450955,0,27806247,0,6355292,0,19790550,0,26180071,0,6389521,0,1032209,0,18285,0,227315,1,1969,0,-42313,0,826954,0,0,0,579323,0,909103,0,329780,0,48873,0,64806,1,15933,1,380,0,0,1,304
2004,3,1,5,0,297301,0,106240968,0,18850522,0,10976042,1,52778,0,13728283,1,29343,1,84357,0,5196122,0,4459885,0,1444123,0,5548045,0,81655346,0,48857740,1,289635,1,128813,0,5929757,0,7627625,0,2435709,0,1896923,0,106240968,0,10931475,0,9275939,0,7516379,0,24121863,0,30197671,0,3127595,0,21070047,0,7235058,0,15194669,0,-439781,0,919899,0,298441189,0,293725684,0,7690,0,519427,0,4188388,0,284118700,0,153619166,0,15656059,0,38833003,0,2582067,0,232671,0,11469115,0,7568478,0,2401773,0,546708,0,5238834,1,4004,0,3070033,0,1241321,0,1974077,0,17911,0,39663477,0,14322490,0,15921137,0,22399949,0,6478812,0,14314800,0,20912298,0,6597498,0,1280537,0,36339,0,317770,0,10669,0,4522,0,911237,0,0,0,309870,0,764234,0,454365,1,15930,1,16638,1,708,1,176,1,176,0,0
2004,3,1,6,0,198275,0,137892915,0,20850877,0,17690006,0,253453,0,18447902,1,3108,1,154493,0,8853371,0,4190715,0,1386357,0,6337160,0,102107342,0,61556703,0,286665,1,114203,0,10864345,0,9379972,0,3585898,0,2850859,0,137892915,0,14124396,0,12524300,0,8931327,0,22370930,0,43688922,0,2581971,0,33671070,0,8079165,0,17766907,0,10849230,0,3024231,0,332610922,0,328196550,0,8098,0,863929,0,3542345,0,317270425,0,172282200,0,17925140,0,44125129,0,2683848,0,722689,0,10004331,0,8407817,0,2910815,0,536480,0,6895091,1,3864,0,3372948,0,1521907,0,2918308,0,8641,0,42951216,0,15340497,0,17115012,0,22888991,0,5773979,0,15332399,0,20652789,0,5320390,0,883797,0,61395,0,370700,0,10527,0,81147,0,360028,0,0,0,833699,0,1239764,0,406064,0,65117,0,66026,1,909,1,15703,1,15702,0,1
2004,3,1,7,0,215301,0,454654518,0,52427275,0,81087611,0,887808,0,69551444,0,819976,0,549620,0,32437300,0,10760836,0,4580605,0,34050635,0,264895912,0,145938200,0,882493,0,302241,0,31600531,0,15003057,0,4958457,0,8093928,0,454654518,0,54146964,0,50437164,0,37900689,0,54477420,0,122575194,0,11873338,0,123243749,0,16820435,0,56781472,0,57353995,0,7712153,0,928322305,0,915649962,0,92068,0,1501597,0,11078678,0,891037269,0,592369777,0,29132265,0,97095752,0,6061291,0,1843279,0,22469593,0,19823956,0,7496245,0,898397,0,17438027,0,33717,0,7339792,0,2932862,0,8780572,0,93486,0,77228257,0,37285036,0,48436791,0,61495447,0,13058656,0,37192968,0,50262723,0,13069754,0,8995491,0,200089,0,1613386,0,183685,0,105114,0,6893208,1,9,0,2192185,0,2992648,0,800463,0,56147,0,442898,0,386752,0,23881,0,15961,1,7153
2004,3,1,8,0,33354,0,231014751,0,25068087,0,47394790,0,513404,0,53105852,0,666580,0,658221,0,15899598,0,4325551,0,2605198,0,18824270,0,105021722,0,59630566,0,603339,0,318859,0,8605508,0,7084135,0,2565406,0,4180137,0,231014751,0,30954809,0,44184321,0,17273559,0,13590672,0,45980611,0,4813909,0,74216870,0,6615008,0,20882313,0,50654423,0,3934873,0,520726510,0,513382828,0,69114,0,509440,0,6765128,0,503469653,0,378379315,0,9727506,0,43255912,0,2246816,0,868219,0,9307366,0,9006635,0,3391652,0,448694,0,8035534,0,19975,0,4459370,0,1571158,0,4455569,0,49886,0,28246048,0,17256857,0,21929616,0,25812619,0,3883003,0,17187743,0,21495719,0,4307976,0,4235603,0,154244,0,841476,0,41018,0,80231,0,3118633,0,2,0,548591,0,920333,0,371742,0,-42322,0,61535,0,103857,0,45258,0,40837,0,0
2004,3,1,9,0,20608,0,312832999,0,31583007,0,68401416,0,1026276,0,72214322,0,1220536,0,930144,0,22080840,0,4085740,0,3518365,0,29726981,0,131311395,0,73842190,0,972002,0,357674,0,10925756,0,8337714,0,3253481,0,6004403,0,312832999,0,41079129,0,59697217,0,31043189,0,15293672,0,55626987,0,6545701,0,103547105,0,6338981,0,24767666,0,77708224,0,5267767,0,681602286,0,670753797,0,111631,0,867650,0,9869208,0,659217364,0,508266674,0,10760772,0,51105693,0,2496613,0,1038679,0,10172178,0,10167534,0,4248286,0,688811,0,10790715,0,68876,0,5749723,0,1609820,0,6193516,0,71406,0,35788066,0,22384922,0,28371933,0,32806628,0,4434694,0,22273291,0,27150525,0,4877235,0,5495111,0,400843,0,1233250,0,89007,0,72364,0,3699704,0,-58,0,566447,0,895118,0,328671,0,37084,0,124372,0,87288,0,69321,0,61014,0,330
2004,3,1,10,0,5895,0,202867790,0,18799035,0,50191800,0,963831,0,38298314,0,3439628,0,1391690,0,13514770,0,2105326,0,2879848,0,22685232,0,79501874,0,43422865,0,843149,0,293595,0,6033100,0,5578735,0,1722530,0,4008111,0,202867790,0,26809494,0,30889740,0,27101180,0,7296287,0,34017421,0,6242205,0,70511464,0,2862273,0,16043210,0,54701345,0,3095365,0,372173572,0,365644929,0,109831,0,587573,0,5831238,0,357534981,0,271780010,0,5128218,0,29173302,0,1464783,0,587173,0,5147055,0,5517266,0,2602711,0,433235,0,7134060,0,51404,0,3364093,0,992605,0,3506670,0,64425,0,20587972,0,14638591,0,18288511,0,20755325,0,2466815,0,14528760,0,17210694,0,2681934,0,3467073,0,233878,0,791224,0,79522,0,-2269,0,2364285,0,432,0,230136,0,409496,0,179360,0,62542,0,130860,0,68318,0,68712,0,61188,0,955
2004,3,1,11,0,2709,0,186642938,0,15344678,0,55627385,0,947691,0,25576229,0,6699379,0,2514040,0,11295091,0,1523733,0,4021254,0,23999425,0,63529029,0,34241934,0,794662,0,298339,0,4669520,0,4040005,0,1103025,0,3599497,0,186642938,0,24427285,0,19627330,0,42506158,0,4117690,0,27609615,0,4981748,0,63373113,0,1915928,0,13383248,0,50159439,0,2085503,0,264292849,0,259127001,0,175720,0,528344,0,4461784,0,253543286,0,190086882,0,3640961,0,20213871,0,1176325,0,554907,0,3686616,0,3996407,0,2320443,0,460530,0,5749610,0,62476,0,2235802,0,858050,0,2888128,0,74256,0,15538022,0,10749563,0,13844438,0,15332472,0,1488034,0,10573843,0,12431693,0,1857850,0,2995086,0,199287,0,760750,0,90698,0,90603,0,1853479,0,269,0,281649,0,349403,0,67753,0,-6141,0,42239,0,48379,0,47142,0,42821,0,0
2004,3,1,12,0,2242,0,678855993,0,44468896,0,217778040,0,3682610,0,47514229,0,35639498,0,11705231,0,34279228,0,2032143,0,43960022,0,124429618,0,144206220,0,70021979,0,6822078,0,1769928,0,11265006,0,16291445,0,3819637,0,17758492,0,678855993,0,80728106,0,50001386,0,222802677,0,4182439,0,84686576,0,38063166,0,198391642,0,5773985,0,41631770,0,156723080,0,5737193,0,515776175,0,487240700,0,661946,0,5408108,0,22465421,0,484707838,0,346202295,0,6000976,0,44822654,0,2449807,0,2049846,0,6536388,0,7560868,0,9162578,0,1233452,0,12239846,0,240489,0,4543928,0,1945922,0,5483098,0,237395,0,33998293,0,31068337,0,43315493,0,46899011,0,3583518,0,30406391,0,34423557,0,4017166,0,12204981,0,997529,0,2194251,0,283267,0,738893,0,7991031,0,11,0,706888,0,893805,0,186917,0,-2767,0,168217,0,170984,0,77896,0,70047,0,186
2004,3,11,1,0,79619,0,48006328,0,4349864,0,3523578,0,15015,0,4335545,0,66733,0,351891,0,1735919,0,1860610,0,530347,0,4556860,0,43980569,0,29110856,0,1352230,0,93341,0,9055398,0,666380,0,195743,0,1055358,0,48006328,0,1579780,0,6405311,0,2031192,0,9375557,0,13983005,0,1018629,0,13612854,0,4691135,0,14116456,0,-4597984,0,596753,0,60043035,0,56962990,0,23610,0,396217,0,2660218,0,59663755,0,27447216,0,1430417,0,5097984,0,1438701,0,66801,0,2511105,0,1255497,0,1073929,0,65707,0,3605922,0,31985,0,223951,0,157494,0,529191,0,83502,0,14644353,0,379281,0,1746245,0,4827383,0,3081138,0,355671,0,3766330,0,3410659,0,1108090,0,28743,0,188883,0,82384,0,-40666,0,848745,4,,0,252507,0,264698,0,12191,0,29976,0,34286,0,4310,0,5975,0,5464,0,138
2004,3,11,2,0,9271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746943,0,1688704,0,96,1,11972,0,46171,0,1921303,0,1100764,0,14094,0,17489,0,33242,0,102,0,155141,0,38506,0,23442,1,2305,0,72063,0,0,0,1285,1,9857,1,1720,0,0,0,451294,0,-174360,0,-31492,0,297858,0,329349,0,-174456,0,142112,0,316568,0,146453,0,87,0,1394,0,6,1,-10145,1,155110,0,0,1,-3489,0,4,1,3493,0,0,0,0,0,0,0,390,0,390,0,0
2004,3,11,3,0,30064,0,1057557,0,224084,0,35381,0,0,0,59750,0,0,0,0,0,16152,0,71792,0,0,1,29311,0,2557869,0,2051378,1,1292,1,224,1,85266,0,32916,0,16985,0,12332,0,1057557,0,49594,0,139668,0,65208,0,1681221,0,290570,1,17460,0,-1186164,0,175801,0,2498971,0,-3839161,1,21775,0,4194499,0,4002059,0,0,1,34722,0,157718,0,4101948,0,1406543,0,234025,0,333030,0,165910,1,27238,0,359675,0,93512,0,63443,0,1729,0,195964,0,0,0,6220,1,418,1,12134,0,0,0,1202107,0,92552,0,172198,0,584013,0,411814,0,92552,0,527947,0,435396,0,68232,1,3511,0,1953,0,50,5,,1,62718,0,0,1,8001,1,8323,1,322,1,3413,1,3413,0,0,0,0,0,0,0,0
2004,3,11,4,0,14891,0,2425016,0,319709,1,153137,0,0,1,151205,0,0,0,0,0,40122,0,321060,0,0,0,69876,0,4743383,0,3604479,0,0,0,0,1,162204,0,87561,1,18350,0,-412,0,2425016,1,48427,0,625914,0,52809,0,1940240,0,1109145,1,76570,0,-1428088,0,427747,0,581506,0,-2339014,1,98327,0,4708775,0,4304099,0,0,1,113068,0,291609,0,4583750,0,1118988,0,157755,0,428582,0,203467,0,0,0,485929,0,112115,0,109961,1,3827,0,355317,0,0,0,40883,1,1040,1,13737,1,25652,0,1526496,0,125025,0,135662,0,441814,0,306152,0,125025,0,433269,0,308243,0,8416,1,440,0,7220,0,0,0,0,1,756,0,0,1,5940,1,5940,0,0,1,-3719,0,0,1,3719,0,0,0,0,0,0
2004,3,11,5,0,9000,0,3381222,0,684171,1,38862,0,0,1,208821,0,0,0,0,1,57444,1,240820,1,8896,0,217204,0,4396083,0,3105420,0,0,0,0,0,548544,1,1576,1,912,1,85133,0,3381222,1,6198,1,180910,0,23191,0,289125,0,1329218,1,24875,0,1527705,0,640101,0,930129,0,-40951,1,1575,0,4150174,0,3563956,0,0,0,31804,0,554414,0,3957367,1,1064913,0,240476,0,407071,0,179835,1,680,0,180107,0,90997,0,82091,1,155,0,223305,1,439,1,15966,1,262,1,16754,0,0,0,1454316,0,192807,0,213160,0,369991,0,156831,0,192807,0,354363,0,161555,0,16460,1,236,0,6760,1,823,0,0,1,8642,0,0,1,3893,1,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,11,6,0,7439,0,5104999,0,482560,0,252572,0,0,0,298812,1,239,0,0,0,175932,0,214888,1,53974,0,269826,0,6170634,0,4444757,1,29386,0,0,0,1475382,0,49893,0,16913,0,92571,0,5104999,0,153826,0,659687,0,197659,0,564420,0,1733034,1,61313,0,1735060,0,918615,0,898031,0,-32580,1,49007,0,6377973,0,5897308,1,2512,0,46906,0,431247,0,6150298,0,2243980,0,246633,0,658823,0,179072,1,914,0,186607,0,172699,0,135000,0,3999,0,563986,0,0,0,12137,1,34920,0,32196,0,0,0,1679333,0,227674,0,275701,0,487242,0,211540,0,225163,0,468848,0,243685,0,28091,0,2561,0,12026,1,990,0,0,1,12515,0,0,1,19377,1,19377,0,0,1,3071,1,3071,0,0,0,0,0,0,0,0
2004,3,11,7,0,7743,0,15120727,0,1065083,0,975907,1,5413,0,1105134,1,423,1,190454,0,312403,0,676328,1,266025,0,1051248,0,13560449,0,8696439,1,283693,1,58777,0,3879457,0,329345,0,101719,0,287125,0,15120727,0,257549,0,1608095,0,599532,0,3417500,0,4567095,0,137107,0,4533849,0,1849728,0,4906659,0,-2116053,0,106485,0,13553102,0,12980745,1,7780,0,85905,0,478671,0,13852454,0,5605328,0,279382,0,1498589,0,422531,0,17787,0,502173,0,387242,0,290877,0,20949,0,1159845,1,2927,0,57599,0,38767,0,134832,1,9002,0,3424622,0,-299352,0,91313,0,1075144,0,983831,0,-307132,0,736681,0,1043813,0,331610,0,2220,0,43140,1,75315,1,740,0,210195,0,0,0,47401,0,50326,1,2925,1,19433,1,19435,0,1,0,0,0,0,0,0
2004,3,11,8,0,684,0,4646423,0,375984,0,146253,0,237,0,425778,1,2352,0,0,0,213732,1,68563,1,79721,0,491372,0,3289436,0,1870553,1,30159,1,5580,0,1143020,0,4944,0,2800,0,254279,0,4646423,0,47980,0,560505,0,240247,0,461394,0,1668786,0,268790,0,1398721,0,275469,0,1403579,0,-160646,1,119680,0,4672214,0,4552556,1,249,0,18282,0,101127,0,4843296,0,2158625,0,88885,0,515162,0,63281,1,5309,0,277120,0,93516,0,111816,0,287,0,307263,0,0,0,31631,0,41034,0,64855,0,289,0,1084223,0,-171082,0,253677,0,468464,0,214787,0,-171331,0,171678,0,343009,0,306533,0,2217,0,17129,1,2213,1,-41137,1,326111,0,0,0,118475,1,118780,0,304,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,11,9,0,368,0,5577757,0,358107,0,701109,0,3517,0,844428,0,11972,0,37923,0,286869,0,89807,0,29061,0,759771,0,3492621,0,2134566,0,143125,0,4433,0,837419,0,34475,0,9980,0,103566,0,5577757,0,342066,0,920285,0,292402,0,394093,0,1232150,0,117074,0,2279687,0,248786,0,1394378,0,720017,0,83494,0,6896274,0,6586530,0,2441,0,30017,0,277287,0,6755030,0,4328488,0,73693,0,388587,0,74587,0,8519,0,154167,0,93707,0,91707,0,14013,0,249550,0,8340,0,14173,0,13566,0,42947,0,1512,0,1197473,0,141244,0,246411,0,400804,0,154393,0,138803,0,333758,0,194954,0,86900,0,5176,0,30368,0,1347,0,4151,0,45859,4,,0,16728,0,19453,0,2726,0,3979,0,4178,0,199,0,1838,0,1710,0,128
2004,3,11,10,0,98,0,3550451,0,266247,0,448370,0,2366,0,401928,0,8767,0,13825,0,159266,0,91910,0,65127,0,452480,0,2239361,0,1331271,0,196538,0,24326,0,400206,0,30960,0,12851,0,146280,0,3550451,0,193052,0,687248,0,215152,0,134776,0,762974,0,90391,0,1466857,0,87518,0,550366,0,924396,0,95423,0,5184864,0,4998809,0,1584,0,13136,0,171336,0,5017164,0,2702845,0,53231,0,287041,0,48379,0,1602,0,93182,0,60797,0,56103,0,7795,0,177714,0,9851,0,6118,0,10350,0,24942,0,384,0,1476830,0,167700,0,246723,0,328789,0,82066,0,166116,0,268713,0,102597,0,53500,0,8871,0,26932,0,1454,0,4117,0,12127,0,0,0,24422,0,24978,0,556,0,2684,0,2693,0,8,0,960,0,950,0,11
