YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,PORTFOLIO_IND,PORTFOLIO,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2005,3,1,12,0,2562,0,808742000,0,51849515,0,263048002,0,3916046,0,59129887,0,39720376,0,13938426,0,48619673,0,2426268,0,46149166,0,143871290,0,167249626,0,80105593,0,7148781,0,2058575,0,12849968,0,19545888,0,4109197,0,23384545,0,808742000,0,102067313,0,56386196,0,257884747,0,5705866,0,107464562,0,43542026,0,235691291,0,6058732,0,47211390,0,189520294,0,7099125,0,632053523,0,599034004,0,833898,0,2230391,0,29955229,0,590720111,0,433269172,0,6707867,0,50972594,0,2904411,0,1760061,0,7692788,0,9034701,0,12916780,0,1497386,0,9642563,0,248673,0,5439740,0,2342946,0,6306000,0,347198,0,39637232,0,41333411,0,55273917,0,57199324,0,1925407,0,40499513,0,44074677,0,3575164,0,13472884,0,2968372,0,3534018,0,284656,0,515536,0,6170302,0,829715,0,1058737,0,229022,0,471805,0,546112,0,74307,0,145329,0,133918,0,269
2005,3,1,11,0,3044,0,210842940,0,17622232,0,61611732,0,1012096,0,30190673,0,6941056,0,2754683,0,13620853,0,1797138,0,4199154,0,26569888,0,69437658,0,36817457,0,1038621,0,403194,0,5640108,0,4545386,0,1363133,0,4469639,0,210842940,0,28382159,0,22347634,0,45740892,0,4341316,0,33099082,0,6125446,0,70806411,0,2251664,0,14842039,0,56242493,0,2529786,0,298316688,0,291595704,0,195963,0,690602,0,5834419,0,283078034,0,212111745,0,4235139,0,23346256,0,1311457,0,616275,0,4360894,0,4654259,0,3139871,0,341646,0,4118316,0,69706,0,2298202,0,962049,0,3175731,0,59834,0,18276655,0,15238654,0,19960319,0,21155373,0,1195054,0,15042690,0,16626211,0,1583520,0,4581582,0,382851,0,1058636,0,99135,0,92960,0,2947999,0,237090,0,339865,0,102775,0,98957,0,133358,0,34401,0,70941,0,63783,0,2039
2005,3,1,10,0,6695,0,230774622,0,21724250,0,58067121,0,1135755,0,42321397,0,3380695,0,1360997,0,17184150,0,2327197,0,3263502,0,25786309,0,87136073,0,47450009,0,863570,0,288131,0,7143089,0,6032146,0,1625052,0,4683073,0,230774622,0,30493639,0,34777417,0,31840611,0,8028642,0,37889388,0,6519164,0,81225762,0,3103885,0,17992700,0,63824561,0,3695384,0,420094975,0,412829164,0,151342,0,774785,0,6339684,0,401114583,0,309377356,0,5613074,0,31731505,0,1571320,0,681126,0,5785558,0,6073289,0,3548973,0,509306,0,5275787,0,89719,0,3369945,0,1140747,0,3824665,0,80064,0,22442148,0,18980392,0,23556771,0,25754830,0,2198059,0,18829050,0,21440262,0,2611212,0,4279450,0,328981,0,1253100,0,101529,0,128645,0,2467196,0,327852,0,501642,0,173790,0,120419,0,143423,0,23004,0,43211,0,37157,0,196
2005,3,1,9,0,22686,0,343189281,0,35102262,0,75301491,0,1109467,0,75436592,0,1460271,0,1115613,0,26311381,0,4746979,0,3547253,0,32757661,0,140888209,0,78213759,0,844751,0,373943,0,12858685,0,8074535,0,2454929,0,6895698,0,343189281,0,45213632,0,61256385,0,33467385,0,16800800,0,62684002,0,8412932,0,115354146,0,6537202,0,26274758,0,87675533,0,5133347,0,735853357,0,723198984,0,132150,0,1363033,0,11159190,0,705497929,0,543337535,0,12376801,0,54925573,0,2796752,0,1160765,0,11290189,0,10847082,0,5558079,0,578729,0,8023260,0,86196,0,6069156,0,1839787,0,6798672,0,71082,0,39738272,0,30355428,0,37469255,0,41456354,0,3987100,0,30223278,0,34835723,0,4612445,0,6491891,0,419656,0,1729112,0,107920,0,188025,0,4047178,0,620720,0,981806,0,361086,0,133366,0,196038,0,62673,0,67927,0,59221,1,627
2005,3,1,8,0,36852,0,257663820,0,28916299,0,54838967,0,671118,0,55459119,0,207962,0,743596,0,19782799,0,4332902,0,4208201,0,19378679,0,117348606,0,66367678,0,612823,0,345925,0,9562885,0,7520396,0,2514692,0,4649997,0,257663820,0,33869025,0,45439682,0,23715797,0,15236451,0,53525710,0,5093559,0,80783597,0,8531051,0,22396808,0,53865792,0,4010055,0,566564223,0,557758898,0,133085,0,814974,0,7857266,0,542774660,0,400134097,0,12422208,0,48077794,0,2661908,0,1026962,0,11464873,0,10229805,0,4565669,0,446720,0,5912180,0,29531,0,4394751,0,1860893,0,4624542,0,45969,0,34876758,0,23789563,0,28331161,0,32423222,0,4092061,0,23656478,0,28216663,0,4560186,0,3957892,0,190985,0,1148215,0,35122,0,187932,0,2395639,0,655406,0,931824,0,276418,0,61385,0,139556,0,78171,0,34111,0,31266,0,0
2005,3,1,7,0,231066,0,487697610,0,59300095,0,85002295,0,844589,0,77790665,0,441734,0,742012,0,36347360,0,12815510,0,4936297,0,34892743,0,274436074,0,150070969,0,969020,0,547405,0,32123176,0,18724566,0,6559258,0,7198281,0,487697610,0,57065808,0,52621820,0,40730990,0,60385678,0,133531707,0,12297725,0,131063881,0,17379918,0,55780002,0,66433075,0,8529114,0,993719884,0,978595715,0,272298,0,1940866,0,12911005,0,945335152,0,628220329,0,29687173,0,103182095,0,6507464,0,1739650,0,23903736,0,20604151,0,9067037,0,1146621,0,12902320,0,41472,0,8319430,0,3160705,0,9879963,0,82485,0,86890521,0,48384732,0,58014397,0,71011026,0,12996629,0,48112434,0,61502773,0,13390340,0,7791520,0,292967,0,2151600,0,153451,0,81514,0,5111989,0,1990790,0,3026128,0,1035338,0,119653,0,399418,0,279764,0,71744,0,67749,1,3450
2005,3,1,6,0,217836,0,153764470,0,23808570,0,19020091,0,287749,0,19320835,1,23067,0,245501,0,9898931,0,6000214,0,1182805,0,7984362,0,114347685,0,68646435,0,121698,1,71810,0,11280179,0,9987043,0,3414935,0,2964417,0,153764470,0,14895033,0,12489337,0,10941786,0,26474528,0,48371578,0,4175028,0,36417180,0,8555042,0,30659473,0,-221921,0,2575414,0,373762378,0,368807340,0,12052,0,715109,0,4227876,0,354425443,0,195137910,0,17902569,0,49109570,0,3223230,0,647018,0,11566160,0,9413591,0,3514188,0,649128,0,6040619,1,5640,0,3679687,0,1661653,0,2967692,0,61552,0,48845235,0,19336935,0,24272495,0,30671876,0,6399381,0,19324882,0,26058211,0,6733328,0,3925882,0,75873,0,518371,0,100897,0,187099,0,3043642,0,954822,0,1417363,0,462541,0,66909,0,99681,1,32772,1,15494,1,15447,1,46
2005,3,1,5,0,316318,0,111766948,0,20157500,0,11958309,0,73408,0,13318638,1,29659,1,1989,0,5760673,0,5407078,0,1009250,0,5752342,0,91334319,0,56669613,0,166138,1,85630,0,6410415,0,8161032,0,2751713,0,1879972,0,111766948,0,10463633,0,8950746,0,7916798,0,23185610,0,33650899,0,2465625,0,25133638,0,7899938,0,16301722,0,2669089,0,1737111,0,344891103,0,340410345,0,2187,0,436230,0,4042341,0,325964307,0,174130352,0,19680512,0,45473862,0,3094833,0,578607,0,12007778,0,8630025,0,2546612,0,530850,0,4443266,1,575,0,3875019,0,1407309,0,2525533,1,14412,0,47024762,0,18926796,0,21707305,0,27311724,0,5604420,0,18924609,0,24610532,0,5685923,0,2186955,0,67863,0,503160,1,41774,0,82290,0,1491869,0,565758,0,823342,0,257584,1,29983,1,37075,1,7092,1,13245,1,13245,0,0
2005,3,1,4,0,511248,0,80364811,0,19407321,0,7629610,0,16923,0,8850775,1,30694,1,5951,0,3111966,0,5332522,0,300417,0,3403878,0,77057916,0,53538814,1,152407,1,57670,0,2517364,0,7354268,0,2727041,0,1550169,0,80364811,0,9506939,0,9640605,0,7576072,0,21265764,0,23176392,0,1652558,0,7546481,0,7564178,0,15290865,0,-13101518,0,2207045,0,358101291,0,353948694,0,10097,0,564180,0,3578320,0,333943513,0,149965059,0,28903997,0,52913860,0,3106269,0,331987,0,15879973,0,10147838,0,2280807,0,531841,0,4418686,1,11756,0,3687620,0,2507955,0,2952801,0,65827,0,56237236,0,24157779,0,27842874,0,33764168,0,5921294,0,24147681,0,30169643,0,6021961,0,2633829,0,46819,0,316011,1,17810,0,119206,0,2133983,0,956930,0,1121853,0,164923,0,104433,0,116824,1,12391,1,1139,1,1136,0,0
2005,3,1,3,0,1829196,0,52175301,0,17032665,0,2883274,0,17940,0,4467142,1,42477,1,21838,0,1936306,0,4350620,0,80895,0,1476232,0,76742375,0,60356102,0,98909,0,28993,0,671311,0,5160945,0,2937815,0,551164,0,52175301,0,5003040,0,6906375,0,8792039,0,35577395,0,13104130,0,1324964,0,-18532642,0,8326466,0,20413950,0,-45277347,0,1995711,0,466114536,0,460867342,0,17877,0,846614,0,4382704,0,426338878,0,154174733,0,49494716,0,72014272,0,3901182,0,269122,0,22050324,0,13574621,0,2374870,0,450689,0,4930281,1,16386,0,5732368,0,3736296,0,3733930,0,63285,0,89821803,0,39775658,0,42063741,0,53188911,0,11125169,0,39757781,0,51023875,0,11266094,0,1916182,0,56264,0,366672,1,107823,0,470159,0,915265,0,342239,0,532541,0,190302,0,47540,0,103015,1,55475,1,17529,1,3312,1,14218
