YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2006,3,1,12,0,2916,0,966748455,0,64055106,0,318803167,0,4616978,0,69683753,0,40452067,0,14527159,0,61894245,0,3668111,0,40420252,0,174129913,0,203204840,0,92689378,0,11944899,0,3264245,0,14823867,0,23488944,0,4575625,0,30798358,0,966748455,0,126337461,0,65674467,0,303038106,0,6560422,0,129004934,0,57588837,0,278544227,0,6834177,0,53343751,0,226486160,0,8119861,0,750184253,0,713771848,0,891700,0,3449853,0,32070853,0,709458541,0,517234983,0,8778962,0,60478737,0,3454345,0,2107009,0,8785894,0,10370801,0,19499427,0,1575712,0,12000965,0,299138,0,6146489,0,2794231,0,7361112,0,392656,0,48178079,0,40725712,0,59232509,0,62553890,0,3321381,0,39834012,0,46048593,0,6214581,0,18304261,0,3191648,0,5142199,0,375719,0,694034,0,8900661,0,698970,0,1048477,0,349507,0,395265,0,469110,0,73845,0,142027,0,123059,0,15761
2006,3,1,11,0,3413,0,237606629,0,19850677,0,68004142,0,1209819,0,34660976,0,7316723,0,2824956,0,16843789,0,2108327,0,4345525,0,30415225,0,75933912,0,39777780,0,1239979,0,513503,0,6518560,0,5444244,0,1316393,0,4917087,0,237606629,0,31434696,0,25728491,0,48307242,0,5242842,0,38226198,0,6509027,0,82158134,0,2594940,0,16215173,0,66261671,0,2913650,0,334913058,0,328009100,0,218180,0,737964,0,5947813,0,318500120,0,239690955,0,4991857,0,25607637,0,1413488,0,555549,0,4801940,0,5155728,0,4408429,0,413306,0,4771422,0,88326,0,2359881,0,1036019,0,3295499,0,33168,0,19876917,0,16412938,0,22964845,0,24737164,0,1772319,0,16194757,0,18669008,0,2474251,0,6457905,0,551076,0,1672272,0,143548,0,184953,0,3906057,0,237599,0,356641,0,119042,0,74583,0,111041,0,36458,0,63821,0,56130,0,6205
2006,3,1,10,0,7387,0,253627275,0,23411250,0,61872584,0,1186261,0,46998974,0,3193334,0,1625741,0,18237417,0,2577778,0,3804366,0,28744660,0,92847860,0,49569011,0,981545,0,385407,0,9739588,0,6588132,0,1891383,0,6036108,0,253627275,0,34420959,0,36368494,0,32559740,0,9502176,0,44169117,0,6654830,0,89951960,0,3754705,0,19557417,0,70415281,0,3775444,0,475828327,0,467819298,0,159552,0,774557,0,7074920,0,455902781,0,355707911,0,6298331,0,33959817,0,1692428,0,720051,0,6481931,0,6533128,0,4640850,0,458520,0,6045972,0,78004,0,3736889,0,1406810,0,4014522,0,44010,0,24083608,0,19925547,0,25610029,0,27803096,0,2193067,0,19765994,0,22620025,0,2854031,0,5296605,0,692429,0,1683223,0,108759,0,114606,0,2697587,0,375726,0,579380,0,203654,0,171704,0,202988,0,31284,0,41877,0,33019,0,6811
2006,3,1,9,0,24324,0,368866531,0,38245475,0,79963167,0,1124964,0,81053583,0,1173361,0,1578763,0,28346064,0,5377848,0,4985782,0,33225260,0,148912031,0,80438487,0,868272,0,377065,0,14005131,0,8622604,0,2364554,0,6814260,0,368866531,0,48743815,0,66093344,0,36025693,0,18060159,0,69713933,0,8436708,0,121792878,0,7015001,0,29318539,0,91546055,0,6086717,0,780841011,0,768259951,0,174286,0,1342196,0,11064578,0,749237242,0,575208730,0,12352130,0,58378355,0,3027850,0,1200935,0,11871495,0,11807631,0,7180992,0,667414,0,9075267,0,153914,0,6256872,0,2009966,0,7671281,0,109257,0,42265152,0,31603769,0,42532399,0,47246064,0,4713665,0,31429484,0,37011986,0,5582503,0,10187408,0,690626,0,2385212,0,167261,0,109080,0,6835229,0,629962,0,1004039,0,374076,0,285545,0,372840,0,87295,0,104973,0,94570,0,9194
2006,3,1,8,0,41353,0,291220826,0,34027571,0,59904375,0,595754,0,66985658,0,192071,0,563663,0,21473979,0,4753349,0,2744322,0,22373685,0,128116211,0,70169047,0,567084,0,412005,0,11415859,0,7654060,0,2655578,0,4281321,0,291220826,0,38154876,0,49429048,0,26883526,0,15376534,0,59137576,0,7570713,0,94668553,0,8151265,0,24376307,0,67305463,0,5164483,0,652292170,0,642549624,0,118849,0,1093246,0,8530451,0,622951208,0,461882496,0,13747709,0,53951379,0,2983530,0,908752,0,12042689,0,10689912,0,5847290,0,455852,0,7483888,0,34030,0,4723996,0,1857527,0,5287723,0,60193,0,40994242,0,29340963,0,36574098,0,40696096,0,4121998,0,29222114,0,34000547,0,4778433,0,6751105,0,270903,0,1737593,0,66092,0,188256,0,4488261,0,617695,0,992654,0,374959,0,-16817,0,21341,0,38158,0,44031,0,41705,1,1281
2006,3,1,7,0,244798,0,514749858,0,64272830,0,85331244,0,912783,0,79364874,0,501931,0,1208005,0,39646502,0,14113179,0,5210913,0,38185086,0,289842023,0,157683850,0,1621688,0,822309,0,33691246,0,21058144,0,8224010,0,8345144,0,514749858,0,56179095,0,57745578,0,42362533,0,60617552,0,138912141,0,14350739,0,144582221,0,17460023,0,60797625,0,76253963,0,9929390,0,1054874124,0,1039497714,0,208067,0,1757429,0,13410914,0,1003797206,0,655457573,0,34173047,0,113320769,0,7347456,0,2125861,0,25658479,0,22691425,0,10952689,0,1212377,0,14723518,0,48942,0,8770549,0,3749943,0,10298681,0,178359,0,93087539,0,51076918,0,62289339,0,76215795,0,13926456,0,50868851,0,65008343,0,14139492,0,9752840,0,412206,0,2998382,0,222224,0,114125,0,6005903,0,1796221,0,2973481,0,1177260,0,-128573,0,158032,0,286605,0,39657,0,33520,1,5608
2006,3,1,6,0,229851,0,160918740,0,24389313,0,21889064,0,345895,0,21117883,1,5900,0,219747,0,10323931,0,5454833,0,1312074,0,8500025,0,118681042,0,71877852,0,259809,0,109150,0,11529863,0,11983315,0,4283651,0,1868490,0,160918740,0,16250295,0,13555486,0,12257499,0,27233051,0,49546648,0,3471506,0,38604255,0,10101037,0,20167707,0,11851071,0,3515560,0,411786530,0,405999439,0,28120,0,625776,0,5133195,0,392296463,0,224917139,0,20010976,0,50606656,0,3807556,0,777766,0,13724251,0,9541546,0,4195363,0,781077,0,6055896,1,6541,0,4068748,0,1646611,0,2980612,0,35239,0,49140487,0,19490067,0,23010036,0,29786940,0,6776904,0,19461946,0,26092516,0,6630570,0,2255953,0,158861,0,767260,0,62397,0,-37752,0,1305188,0,1106356,0,1566670,0,460314,0,185781,0,211184,1,25403,1,2022,1,1868,0,0
2006,3,1,5,0,325960,0,116272819,0,21452853,0,12714073,0,85438,0,12862348,1,40337,1,55552,0,6558004,0,6117576,0,1169904,0,7117994,0,96091522,0,61348127,0,394039,0,224329,0,5950240,0,8181899,0,2720579,0,1944950,0,116272819,0,10258965,0,9958042,0,9618209,0,24278116,0,33432464,0,3747459,0,24979564,0,8391060,0,17962957,0,206239,0,1580692,0,375236413,0,370701466,0,9564,0,493113,0,4032270,0,354185492,0,185639695,0,22078422,0,49200351,0,2867888,0,463190,0,15366033,0,9466770,0,3255785,0,533719,0,4760695,1,605,0,3911080,0,1923303,0,2654895,0,6951,0,52056109,0,21050921,0,23448211,0,30055101,0,6606890,0,21041357,0,27754268,0,6712911,0,1749958,0,100360,0,611508,1,57288,0,37619,0,943182,0,493621,0,722577,0,228956,0,163275,0,193195,1,29919,1,2951,1,2838,1,113
2006,3,1,4,0,545265,0,86727276,0,20478330,0,8061154,0,43670,0,9563823,1,19149,1,43679,0,3609679,0,6043641,0,440949,0,3609564,0,82483406,0,56864364,1,162744,1,107486,0,2750046,0,8605082,0,3380624,0,1252174,0,86727276,0,7978899,0,9018698,0,8414227,0,23780887,0,21942888,0,1493191,0,14098486,0,7306144,0,13988901,0,-5079234,0,2117326,0,395495621,0,389206415,0,82837,0,638552,0,5567818,0,371250883,0,163255317,0,30235371,0,58954563,0,3494965,0,343924,0,16338243,0,10613415,0,2756625,0,602482,0,5210428,1,6139,0,4874657,0,2243868,0,3189429,0,32064,0,69099392,0,24244738,0,26394057,0,33832453,0,7438397,0,24161901,0,31716447,0,7554546,0,1205487,0,56328,0,438939,1,33434,0,20620,0,656167,0,992574,0,1173480,0,180906,0,34094,1,35184,1,1090,1,16103,1,15831,0,0
2006,3,1,3,0,1759950,0,52031809,0,16513115,0,2754394,0,47458,0,4109354,1,34916,1,45568,0,2003573,0,4464189,0,116631,0,1478810,0,81273642,0,64185841,0,250870,1,147100,0,674296,0,5460046,0,3114608,0,347414,0,52031809,0,5003280,0,7507563,0,9986615,0,39494166,0,15597924,0,855901,0,-26413639,0,7540835,0,23325235,0,-55965687,0,1314022,0,480443909,0,474296770,0,14545,0,811724,0,5320870,0,442348308,0,154220079,0,52642389,0,73311314,0,4317367,0,646084,0,23367907,0,13677697,0,2501871,0,383858,0,4742581,1,19124,0,5437340,0,4006332,0,3802471,0,61255,0,99210639,0,38095601,0,41089456,0,52924089,0,11834633,0,38081056,0,49976829,0,11895773,0,2704404,0,75436,0,470772,0,114359,0,46791,0,1997045,0,196854,0,407623,0,210769,0,107141,0,107776,1,635,1,5285,1,5082,0,0
