YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2008,3,1,12,0,3326,0,1201517031,0,98236798,0,410351821,0,6690003,0,71297198,0,43031257,0,18571850,0,65381967,0,5413707,0,35339679,0,216615490,0,264587540,0,121748195,0,10173324,0,2873994,0,19924234,0,37837696,0,6500218,0,42566880,0,1201517031,0,161250539,0,73970326,0,375432231,0,7406192,0,187089306,0,90440272,0,305928165,0,10877565,0,78135739,0,228968628,0,12053767,0,930089039,0,893574244,0,1193033,0,2300163,0,33021599,0,896223407,0,639699781,0,9213185,0,75428325,0,4537591,0,4861134,0,12405762,0,10858623,0,22228359,0,2680615,0,20104861,0,358079,0,7141137,0,3778319,0,9116112,0,726489,0,73085032,0,33865633,0,53132042,0,66515440,0,13383398,0,32672599,0,49198068,0,16525469,0,19562646,0,5424861,0,5159730,0,597302,0,-146584,0,8527336,0,789953,0,1304062,0,514109,0,106843,0,397535,0,290692,0,225160,0,194317,0,25151
2008,3,1,11,0,3611,0,250688695,0,25005827,0,70337083,0,1331142,0,33411412,0,6605885,0,2816338,0,16080178,0,2622068,0,4160091,0,31420010,0,87336966,0,46471163,0,1311731,0,462227,0,7159870,0,6539143,0,1685161,0,5831787,0,250688695,0,32032807,0,25276879,0,50402500,0,6768853,0,41912191,0,9049767,0,85245698,0,2664297,0,20573003,0,66059943,0,4051545,0,362555910,0,355222321,0,251399,0,610586,0,6471604,0,350351319,0,261669770,0,4779596,0,27523070,0,1601613,0,1025485,0,5189276,0,4617658,0,3931482,0,481514,0,7532207,0,75675,0,2603144,0,1178541,0,3854570,0,89862,0,24197856,0,12204591,0,15967852,0,20753900,0,4786047,0,11953192,0,17260892,0,5307700,0,3765057,0,608473,0,1270221,0,140806,0,-317288,0,2062845,0,202192,0,442392,0,240200,0,47411,0,89372,0,41961,0,77998,0,68236,0,8561
2008,3,1,10,0,7551,0,260289456,0,25513937,0,60899311,0,1184279,0,47890405,0,2765832,0,1141520,0,19459675,0,3171880,0,2984567,0,29311096,0,101366073,0,55187653,0,1125014,0,531068,0,9414204,0,7839657,0,2380634,0,6689920,0,260289456,0,32640999,0,36099187,0,32571912,0,9944285,0,47600415,0,8597466,0,92835193,0,4351740,0,22565846,0,69766361,0,3848753,0,479216218,0,471372571,0,138943,0,701400,0,7003304,0,463463656,0,359180857,0,6555030,0,34143578,0,1824506,0,1071325,0,7160590,0,5364162,0,4154224,0,581738,0,8615646,0,86242,0,3003310,0,1360815,0,3994618,0,96706,0,26270309,0,15752562,0,19968927,0,25612044,0,5643117,0,15613619,0,21610886,0,5997267,0,3993758,0,639118,0,1398627,0,147408,0,-283474,0,2092079,0,235157,0,549756,0,314599,0,126394,0,175884,0,49490,0,31232,0,26349,0,4020
2008,3,1,9,0,25214,0,384671583,0,42867523,0,81902358,0,1236169,0,78137310,0,963571,0,1184569,0,27427251,0,5844572,0,3447752,0,37531863,0,166567336,0,92862391,0,1230663,0,619609,0,15912790,0,10975501,0,3077172,0,8473864,0,384671583,0,47832628,0,60973554,0,35749994,0,18611059,0,75579008,0,11561435,0,134363904,0,8150664,0,36655355,0,96458534,0,6900649,0,788347573,0,776455401,0,169503,0,1216947,0,10505722,0,764477600,0,582078665,0,12997846,0,61840933,0,3214758,0,1712525,0,13585989,0,9746227,0,6171058,0,762174,0,13173619,0,83555,0,5473479,0,2162512,0,7686237,0,249610,0,43538412,0,23869973,0,31400659,0,41016552,0,9615894,0,23700470,0,33755998,0,10055529,0,7171785,0,604773,0,1873779,0,284423,0,-276082,0,4684893,0,568075,0,1016453,0,448378,0,-39671,0,196097,0,235768,0,74929,0,68509,0,5447
2008,3,1,8,0,41317,0,285547349,0,34067793,0,53696689,0,931506,0,62278527,0,464316,0,704318,0,19617836,0,5112824,0,1937184,0,22565298,0,138005361,0,77192380,0,536246,0,217844,0,13759914,0,8005377,0,2641163,0,5778562,0,285547349,0,33307173,0,44905147,0,23018800,0,19078650,0,64719795,0,8460943,0,92056841,0,7262154,0,28361094,0,62273511,0,5839918,0,598559350,0,590522432,0,101408,0,1021282,0,6914228,0,580190936,0,422729415,0,12340196,0,51998162,0,3047097,0,1569753,0,11474997,0,8426074,0,5053809,0,510498,0,10359568,0,44840,0,4541236,0,1697712,0,5501272,0,108682,0,40787624,0,18368414,0,24068379,0,32365922,0,8297543,0,18267007,0,26826272,0,8559265,0,5227298,0,283503,0,1274372,0,112339,0,-176730,0,3733814,0,519956,0,1050665,0,530709,0,54119,0,67130,0,13011,0,63651,0,57726,1,5275
2008,3,1,7,0,260636,0,553808689,0,71867674,0,92680908,0,834127,0,81579462,0,785180,0,546551,0,39170156,0,15675985,0,6348272,0,40556626,0,324506951,0,183430807,0,1195740,0,567497,0,37588923,0,24038302,0,9686539,0,11786930,0,553808689,0,60142215,0,55705489,0,45684051,0,62579490,0,151008506,0,20018928,0,158670009,0,20339748,0,63144670,0,85477082,0,10291491,0,1180284174,0,1164898934,0,268327,0,1800899,0,13316013,0,1136906187,0,753184577,0,40513003,0,118243774,0,7685081,0,2585420,0,31375448,0,20654669,0,10590007,0,1496029,0,19195310,1,26682,0,9409028,0,3799899,0,10673756,0,199027,0,107274478,0,43377986,0,54819047,0,74905995,0,20086949,0,43109659,0,63366239,0,20256580,0,9851224,0,414537,0,2702373,0,451955,0,-193976,0,6476336,0,1895190,0,3119764,0,1224574,0,-37026,0,258392,0,295418,0,45119,0,35626,1,8916
2008,3,1,6,0,239203,0,167535006,0,26015400,0,19479980,0,288418,0,21097039,1,922,0,129444,0,11412211,0,7123989,0,1479107,0,10082646,0,126470072,0,78328540,0,187800,0,117193,0,12575065,0,12442924,0,4695583,0,2468142,0,167535006,0,16937565,0,14045685,0,13744978,0,28515937,0,52707906,0,4605450,0,36977484,0,8840174,0,24724788,0,7355101,0,3942579,0,407481437,0,400978460,0,40440,0,595288,0,5867250,0,389027040,0,218525901,0,20591766,0,47680216,0,3691898,0,806481,0,14126559,0,8998709,0,4105140,0,752463,0,7113294,1,2035,0,3825137,0,1707556,0,3618585,0,95428,0,53385872,0,18454397,0,21077070,0,29951642,0,8874572,0,18413957,0,27021671,0,8607714,0,1423083,0,113798,0,781665,0,19159,0,-182729,0,691190,0,1073842,0,1586372,0,512530,0,166187,0,177272,1,11085,0,12879,0,12879,0,0
2008,3,1,5,0,345585,0,122358857,0,23042509,0,11634269,0,15854,0,13859031,1,11266,1,32870,0,6741330,0,7428752,0,511005,0,7273554,0,102819013,0,67761090,0,512268,1,347639,0,6864651,0,10606732,0,3659648,0,2805838,0,122358857,0,11211495,0,8469662,0,9384853,0,24192080,0,37954724,0,3375835,0,27770207,0,8537959,0,20410661,0,2570239,0,3748652,0,379505635,0,374448152,0,19003,0,512401,0,4526079,0,360516323,0,182013187,0,23951201,0,53410163,0,3123306,0,680429,0,15491466,0,9232708,0,3072914,0,676661,0,5904500,1,419,0,3547631,0,1789664,0,2670593,0,63775,0,54887706,0,18989312,0,23022513,0,31175489,0,8152976,0,18970309,0,27157018,0,8186708,0,3366170,0,145892,0,445865,0,102504,0,401222,0,2270687,0,609783,0,921644,0,311861,0,76251,0,113454,1,37203,1,2422,1,2422,0,0
2008,3,1,4,0,568719,0,90348276,0,21998123,0,7078584,0,70950,0,10371699,1,79246,1,48143,0,5483429,0,6754226,0,476562,0,3495671,0,91637431,0,66416817,1,189686,1,95439,0,2315914,0,9953656,0,4216921,0,1266033,0,90348276,0,8962660,0,9364089,0,9187333,0,25720328,0,21359204,0,2942037,0,12812626,0,7838851,0,17515464,0,-10714429,0,1827260,0,407947488,0,402489917,0,3284,0,635630,0,4818657,0,384663927,0,169356804,0,35719207,0,61443049,0,3656793,0,591037,0,18589975,0,11097768,0,2883941,0,794702,0,5845432,1,4883,0,4341323,0,2403302,0,3260949,0,31956,0,64642806,0,23283561,0,25767333,0,34788258,0,9020926,0,23280276,0,32494553,0,9214277,0,1705056,0,49638,0,438864,1,80294,0,-31680,0,1167939,0,743868,0,1020237,0,276369,0,38133,1,83960,1,45827,1,14033,1,14033,0,0
2008,3,1,3,0,1832665,0,50538633,0,16626896,0,2761883,0,21529,0,3964990,1,950,0,333,0,1831846,0,4588196,0,95926,0,1451836,0,89572101,0,73569331,1,62640,1,13627,0,610105,0,5421232,0,3473620,0,627806,0,50538633,0,4691931,0,7523218,0,10665289,0,40714392,0,13995417,0,1981549,0,-29033162,0,8775065,0,21359613,0,-57047151,0,2120690,0,497314536,0,490827642,0,15324,0,790868,0,5680702,0,462104670,0,159999178,0,57489835,0,74510626,0,4036560,0,478392,0,25560408,0,14209874,0,3036926,0,385920,0,5813654,1,1426,0,6388410,0,3801242,0,4711241,0,86461,0,101594518,0,35209866,0,37930024,0,53026428,0,15096403,0,35194542,0,50228088,0,15033546,0,2430074,0,123805,0,513209,1,247763,0,-24526,0,1569822,0,254547,0,461930,0,207383,0,50861,0,51126,1,265,1,790,0,0,1,193
